tweet_id,timestamp,source,expanded_urls,rating_numerator,rating_denominator,name,cleantext,dog_stage,retweet_count,like_count,media_url,short_url,annotation,breed,jpg_url
666020888022790149,2015-11-15,Twitter for iPhone,https://twitter.com/dog_rates/status/666020888022790149/photo/1,8,10,,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. ,,416,2224,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,https://t.co/BLDqew2Ijj,Vietnam,Welsh Springer Spaniel,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg
666029285002620928,2015-11-15,Twitter for iPhone,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7,10,,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. ,,39,110,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,https://t.co/r7mOb2m0UI,Mitsubishi,Redbone,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg
666033412701032449,2015-11-15,Twitter for iPhone,https://twitter.com/dog_rates/status/666033412701032449/photo/1,9,10,,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. ,,35,97,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,https://t.co/y671yMhoiR,,German Shepherd,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg
666044226329800704,2015-11-16,Twitter for iPhone,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6,10,,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. ,,113,242,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,https://t.co/DWnyCjf2mx,Piers Morgan,Rhodesian Ridgeback,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg
666049248165822465,2015-11-16,Twitter for iPhone,https://twitter.com/dog_rates/status/666049248165822465/photo/1,5,10,,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. ,,36,85,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,https://t.co/4B7cOc1EDq,Fox News,Miniature Pinscher,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg
666050758794694657,2015-11-16,Twitter for iPhone,https://twitter.com/dog_rates/status/666050758794694657/photo/1,10,10,,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. ,,49,110,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,https://t.co/fvIbQfHjIe,,Bernese Mountain Dog,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg
666051853826850816,2015-11-16,Twitter for iPhone,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2,10,,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. ,,685,1005,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,https://t.co/v5A4vzSDdc,,,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg
666055525042405380,2015-11-16,Twitter for iPhone,https://twitter.com/dog_rates/status/666055525042405380/photo/1,10,10,,Here is a Siberian heavily armored polar bear mix. Strong owner. ,,193,359,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,https://t.co/rdivxLiqEt,,Chow,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg
666057090499244032,2015-11-16,Twitter for iPhone,https://twitter.com/dog_rates/status/666057090499244032/photo/1,9,10,,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. ,,111,243,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,https://t.co/yWBqbrzy8O,,,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg
666058600524156928,2015-11-16,Twitter for iPhone,https://twitter.com/dog_rates/status/666058600524156928/photo/1,8,10,,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). ,,46,96,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,https://t.co/pYAJkAe76p,Rand Paul,Miniature Poodle,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg
